doc_id,v2_nfe,i2_nfe,delta_i2_minus_v2
0,95,99,4
1,61,58,-3
2,71,117,46
3,65,59,-6
4,74,83,9
5,149,135,-14
6,43,49,6
7,126,154,28
8,131,192,61
9,72,79,7
10,64,67,3
11,57,58,1
12,97,124,27
13,102,119,17
14,69,68,-1
15,117,118,1
16,44,47,3
17,80,86,6
18,64,70,6
19,160,227,67
20,118,167,49
21,77,80,3
22,62,39,-23
23,70,56,-14
24,67,74,7
25,83,144,61
26,60,59,-1
27,46,43,-3
28,70,72,2
29,58,59,1
30,104,104,0
31,68,79,11
32,74,80,6
33,63,65,2
34,53,47,-6
35,68,59,-9
36,56,62,6
37,137,222,85
38,88,89,1
39,101,102,1
