doc_id,v2_nfe,i2_nfe,delta_i2_minus_v2
0,81,83,2
1,55,58,3
2,68,88,20
3,56,72,16
4,71,78,7
5,69,95,26
6,66,53,-13
7,67,80,13
8,97,100,3
9,60,77,17
10,62,60,-2
11,36,44,8
12,84,101,17
13,40,82,42
14,62,69,7
15,105,97,-8
16,76,81,5
17,54,61,7
18,49,54,5
19,80,91,11
20,89,68,-21
21,56,84,28
22,44,60,16
23,65,71,6
24,62,64,2
25,67,70,3
26,43,50,7
27,46,51,5
28,51,57,6
29,54,61,7
30,45,46,1
31,70,71,1
32,64,64,0
33,49,56,7
34,39,47,8
35,76,60,-16
36,49,55,6
37,76,101,25
38,79,90,11
39,55,61,6
40,30,58,28
41,68,80,12
42,52,42,-10
43,69,75,6
44,72,81,9
45,62,64,2
46,73,100,27
47,48,58,10
48,40,43,3
49,38,41,3
50,70,72,2
51,54,54,0
52,59,72,13
53,72,67,-5
54,53,58,5
55,30,30,0
56,70,110,40
57,54,57,3
58,62,61,-1
59,39,36,-3
60,72,76,4
61,76,63,-13
62,72,92,20
63,70,82,12
64,65,80,15
65,59,60,1
66,86,107,21
67,31,34,3
68,48,68,20
69,38,73,35
70,68,59,-9
71,29,30,1
72,61,60,-1
73,119,90,-29
74,44,67,23
75,42,38,-4
76,69,43,-26
77,45,50,5
78,76,68,-8
79,53,56,3
80,85,84,-1
81,62,90,28
82,53,67,14
83,36,38,2
84,48,55,7
85,69,60,-9
86,56,57,1
87,90,82,-8
88,56,51,-5
89,67,68,1
90,58,60,2
91,50,51,1
92,48,47,-1
93,72,78,6
94,45,46,1
95,40,41,1
96,24,29,5
97,80,101,21
98,79,78,-1
99,48,57,9
100,52,63,11
101,55,59,4
102,73,73,0
103,54,62,8
104,51,55,4
105,35,36,1
106,68,62,-6
107,101,96,-5
108,65,58,-7
109,58,62,4
110,52,68,16
111,76,83,7
112,81,82,1
113,33,36,3
114,63,72,9
115,75,75,0
116,127,120,-7
117,26,26,0
118,79,82,3
119,72,83,11
120,62,63,1
121,54,54,0
122,70,84,14
123,47,40,-7
124,87,99,12
125,70,63,-7
126,30,29,-1
127,20,25,5
128,42,51,9
129,101,83,-18
130,41,73,32
131,43,46,3
132,52,62,10
133,61,65,4
134,37,38,1
135,30,44,14
136,59,74,15
137,44,47,3
138,55,49,-6
139,58,63,5
140,38,44,6
141,47,53,6
142,72,76,4
143,54,62,8
144,77,80,3
145,65,92,27
146,56,44,-12
147,56,70,14
148,60,75,15
149,49,59,10
